State,Postcode,Associated residential areas,Reporting Year,Age group,Percent fully immunised (%),Interpret with caution  (#)
NSW,2094,Fairlight,2016-17,1 year,92.5-94.9, 
NSW,2095,"Manly, Manly East",2016-17,1 year,90.0-92.4, 
NSW,2096,"Freshwater, Queenscliff, Curl Curl",2016-17,1 year,92.5-94.9, 
NSW,2097,"Collaroy, Collaroy Beach, Collaroy Plateau, Wheeler Heights",2016-17,1 year,92.5-94.9, 
NSW,2099,"Dee Why, Cromer, Narraweena, North Curl Curl",2016-17,1 year,92.5-94.9, 
NSW,2100,"Beacon Hill, Allambie Heights, North Manly, Brookvale, Oxford Falls",2016-17,1 year,92.5-94.9, 
NSW,2101,"Narrabeen, North Narrabeen, Elanora Heights, Ingleside",2016-17,1 year,92.5-94.9, 
NSW,2102,Warriewood,2016-17,1 year,95.0-100.0,#
NSW,2103,Mona Vale,2016-17,1 year,90.0-92.4, 
NSW,2104,Bayview,2016-17,1 year,95.0-100.0,#
NSW,2105,"Church Point, Scotland Island, Elvina Bay, Lovett Bay, McCarrs Creek and 1 other",2016-17,1 year,NP, 
NSW,2106,"Newport, Newport Beach",2016-17,1 year,92.5-94.9, 
NSW,2107,"Avalon Beach, Bilgola Beach, Bilgola Plateau, Clareville, Whale Beach",2016-17,1 year,80.0-84.9, 
NSW,2108,"Palm Beach, Great Mackerel Beach, Coasters Retreat, Currawong Beach",2016-17,1 year,NP, 
NSW,2110,"Hunters Hill, Woolwich",2016-17,1 year,95.0-100.0,#
NSW,2111,"Gladesville, Tennyson Point, Huntleys Cove, Henley, Huntleys Point and 2 others",2016-17,1 year,92.5-94.9, 
NSW,2112,"Ryde, Putney, Denistone East",2016-17,1 year,92.5-94.9, 
NSW,2113,"North Ryde, Macquarie Park, East Ryde",2016-17,1 year,95.0-100.0, 
NSW,2114,"West Ryde, Meadowbank, Denistone, Melrose Park, Denistone West",2016-17,1 year,92.5-94.9, 
NSW,2115,Ermington,2016-17,1 year,95.0-100.0, 
NSW,2116,Rydalmere,2016-17,1 year,95.0-100.0,#
NSW,2117,"Oatlands, Telopea, Dundas Valley, Dundas",2016-17,1 year,92.5-94.9, 
NSW,2118,"Carlingford, Carlingford North, Kingsdene",2016-17,1 year,90.0-92.4, 
NSW,2119,"Beecroft, Cheltenham",2016-17,1 year,92.5-94.9,#
NSW,2120,"Thornleigh, Pennant Hills, Westleigh",2016-17,1 year,95.0-100.0, 
NSW,2121,"Epping, North Epping",2016-17,1 year,90.0-92.4, 
NSW,2122,"Eastwood, Marsfield",2016-17,1 year,92.5-94.9, 
NSW,2125,West Pennant Hills,2016-17,1 year,92.5-94.9, 
NSW,2126,Cherrybrook,2016-17,1 year,92.5-94.9, 
NSW,2127,"Newington, Wentworth Point, Sydney Olympic Park",2016-17,1 year,90.0-92.4, 
NSW,2128,Silverwater,2016-17,1 year,85.0-89.9,#
NSW,2130,Summer Hill,2016-17,1 year,95.0-100.0,#
NSW,2131,Ashfield,2016-17,1 year,90.0-92.4, 
NSW,2132,Croydon,2016-17,1 year,92.5-94.9, 
NSW,2133,"Croydon Park, Enfield South",2016-17,1 year,92.5-94.9, 
NSW,2134,"Burwood, Burwood North",2016-17,1 year,85.0-89.9, 
NSW,2135,Strathfield,2016-17,1 year,90.0-92.4, 
