Postcode,Electoral division,Per cent,State,Party_Year,Party_Name
2155,Mitchell,92,NSW,2016,Liberal
2156,Mitchell,100,NSW,2016,Liberal
2157,Berowra,100,NSW,2016,Liberal
2158,Berowra,74.4,NSW,2016,Liberal
2158,Mitchell,25.6,NSW,2016,Liberal
2159,Berowra,100,NSW,2016,Liberal
2160,Reid,100,NSW,2016,Liberal
2161,Blaxland,1.9,NSW,2016,Australian Labor Party
2161,Reid,98.1,NSW,2016,Liberal
2162,Blaxland,95.8,NSW,2016,Australian Labor Party
2162,Reid,4.2,NSW,2016,Liberal
2163,Blaxland,41.4,NSW,2016,Australian Labor Party
2163,Fowler,58.6,NSW,2016,Australian Labor Party
2164,Prospect,93.9,NA,2016,NA
2164,Reid,6.1,NSW,2016,Liberal
2165,Fowler,7.1,NSW,2016,Australian Labor Party
2165,Prospect,92.9,NA,2016,NA
2166,Fowler,96.1,NSW,2016,Australian Labor Party
2166,Prospect,3.9,NA,2016,NA
2167,Werriwa,100,NSW,2016,Australian Labor Party
2168,Fowler,39.2,NSW,2016,Australian Labor Party
2168,Werriwa,60.8,NSW,2016,Australian Labor Party
2170,Fowler,41.8,NSW,2016,Australian Labor Party
2170,Hughes,23.6,NSW,2016,Liberal
2170,Werriwa,34.6,NSW,2016,Australian Labor Party
2171,Hughes,4.4,NSW,2016,Liberal
2171,Macarthur,29.3,NSW,2016,Australian Labor Party
2171,Prospect,1.8,NA,2016,NA
2171,Werriwa,64.5,NSW,2016,Australian Labor Party
2173,Hughes,97.6,NSW,2016,Liberal
2173,Macarthur,2.4,NSW,2016,Australian Labor Party
2174,Werriwa,100,NSW,2016,Australian Labor Party
2176,Fowler,28.9,NSW,2016,Australian Labor Party
2176,Prospect,71.1,NA,2016,NA
2177,Fowler,100,NSW,2016,Australian Labor Party
2190,Blaxland,100,NSW,2016,Australian Labor Party
2191,Blaxland,22.9,NSW,2016,Australian Labor Party
2191,Watson,77.1,NSW,2016,Australian Labor Party
2192,Watson,100,NSW,2016,Australian Labor Party
2193,Grayndler,74.8,NSW,2016,Australian Labor Party
2193,Watson,25.2,NSW,2016,Australian Labor Party
2194,Watson,100,NSW,2016,Australian Labor Party
2195,Blaxland,15.6,NSW,2016,Australian Labor Party
2195,Watson,84.4,NSW,2016,Australian Labor Party
2196,Banks,30.3,NSW,2016,Liberal
2196,Blaxland,51,NSW,2016,Australian Labor Party
2196,Watson,18.7,NSW,2016,Australian Labor Party
