Postcode,Electoral division,Per cent postcode in electorate,DivisionID2016,StateAB2016,CandidateID2016,GivenNm2016,Surname2016,PartyNm2016,PartyAb2016,DivisionID2010,StateAb2010,CandidateID2010,GivenNm2010,Surname2010,PartyNm2010,PartyAb2010,DivisionID2013,StateAb2013,CandidateID2013,GivenNm2013,Surname2013,PartyNm2013,PartyAb2013
0846,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0847,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0850,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0852,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0853,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0854,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0860,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0862,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0870,Lingiari,100,306,NT,28735,Warren,SNOWDON,Australian Labor Party,ALP,306,NT,21513,Warren Edward,SNOWDON,Australian Labor Party,ALP,306,NT,23522,Warren,SNOWDON,Australian Labor Party,ALP
0872,Grey,11.4,183,SA,29569,Rowan,RAMSEY,Liberal,LP,183,SA,20832,Rowan,RAMSEY,Liberal,LP,183,SA,23709,Rowan,RAMSEY,Liberal,LP
