"MEASURE","Data item","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2016","2016",63.3,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2011","2011",2.2,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2016","2016",2.8,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2011","2011",1.4,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2016","2016",1.7,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2011","2011",9.8,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2016","2016",10.5,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2011","2011",8.8,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2016","2016",10.2,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2011","2011",25.5,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2016","2016",27.7,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2011","2011",11.3,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11503","Hawkesbury","A","Annual","2016","2016",10.3,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2011","2011",60.2,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11504","Rouse Hill - McGraths Hill","A","Annual","2016","2016",62.6,,
